name,date,open,high,low,close,volume
CSCO,20-Apr-2015,28.16,29.280001,28.16,28.82,22873200
CSCO,27-Apr-2015,28.879999,29.33,28.68,29.129999,23036300
CSCO,04-May-2015,29.08,29.370001,28.690001,29.23,21547200
CSCO,11-May-2015,29.5,29.82,28.799999,29.549999,38288700
CSCO,18-May-2015,29.42,29.9,29.26,29.26,20635300
CSCO,26-May-2015,29.190001,29.59,28.75,29.309999,23518600
CSCO,01-Jun-2015,29.6,29.620001,28.49,28.58,22492800
CSCO,08-Jun-2015,28.67,29.219999,28.01,28.540001,21413800
CSCO,15-Jun-2015,28.23,29.35,28.110001,29.030001,23945500
CSCO,22-Jun-2015,29.1,29.219999,28.01,28.280001,20974800
CSCO,29-Jun-2015,27.99,28.110001,27.07,27.33,25792900
CSCO,06-Jul-2015,27,27.450001,26.84,27.280001,22473400
CSCO,13-Jul-2015,27.49,28.42,27.42,28.18,22048200
CSCO,20-Jul-2015,28.129999,28.77,27.440001,28.4,28763000
CSCO,27-Jul-2015,28.309999,28.559999,27.85,28.42,22748300
CSCO,03-Aug-2015,28.41,28.67,27.889999,28.15,18289600
CSCO,10-Aug-2015,28.48,29.209999,27.41,29.030001,35252300
CSCO,17-Aug-2015,28.65,28.969999,26.469999,26.469999,33978000
CSCO,24-Aug-2015,24.889999,26.190001,23.030001,26,44096700
CSCO,31-Aug-2015,25.940001,26.15,25.01,25.52,29576100
CSCO,08-Sep-2015,25.98,26.73,25.809999,26.02,23479700
CSCO,14-Sep-2015,26.15,26.280001,25.25,25.540001,25158000
CSCO,21-Sep-2015,25.450001,26.299999,24.92,26.030001,27054200
CSCO,28-Sep-2015,25.83,26.379999,25.34,25.76,29648800
CSCO,05-Oct-2015,26.040001,28.15,25.969999,27.91,27840700
CSCO,12-Oct-2015,27.93,28.35,27.59,28.25,17729300
CSCO,19-Oct-2015,28.120001,29.379999,27.940001,29.35,23672400
CSCO,26-Oct-2015,29.32,29.49,28.58,28.85,20525700
CSCO,02-Nov-2015,28.870001,28.870001,28.16,28.450001,27231100
CSCO,09-Nov-2015,28.35,28.49,25.82,26.209999,43571800
CSCO,16-Nov-2015,26.07,27.780001,26.059999,27.57,31275100
CSCO,23-Nov-2015,27.65,27.84,27,27.32,22387100
CSCO,30-Nov-2015,27.34,27.9,26.82,27.48,29049700
CSCO,07-Dec-2015,27.559999,27.559999,26.129999,26.16,23158200
CSCO,14-Dec-2015,26.299999,27.309999,25.959999,26.27,29366000
CSCO,21-Dec-2015,26.58,27.549999,26.41,27.379999,16553800
CSCO,28-Dec-2015,27.299999,27.82,27.129999,27.16,14546500
INTC,02-Jan-2015,36.669998,37.16,36.110001,36.360001,23605600
INTC,05-Jan-2015,36.200001,37.110001,35.259998,36.759998,29193800
INTC,12-Jan-2015,36.900002,37.490002,35.509998,36.450001,41024600
INTC,20-Jan-2015,36.099998,37.029999,35.57,36.450001,30652200
INTC,26-Jan-2015,36.189999,36.299999,33,33.040001,38516200
INTC,02-Feb-2015,33.060001,34.049999,32.610001,33.299999,29888100
INTC,09-Feb-2015,33,34.369999,32.669998,34.360001,21072800
INTC,17-Feb-2015,34.400002,34.75,33.91,34.41,17835000
INTC,23-Feb-2015,34.400002,34.5,33.209999,33.25,26043000
INTC,02-Mar-2015,33.290001,34.5,33.080002,33.189999,25868600
INTC,09-Mar-2015,33.200001,33.27,30.360001,30.93,57675600
INTC,16-Mar-2015,30.93,31.620001,30.299999,31.309999,38863100
INTC,23-Mar-2015,31.290001,33,29.309999,32,43032700
INTC,30-Mar-2015,31.66,32.099998,30.65,30.809999,33982900
INTC,06-Apr-2015,30.809999,31.940001,30.450001,31.93,25050400
INTC,13-Apr-2015,31.809999,32.990002,31.27,32.470001,36764600
INTC,20-Apr-2015,32.610001,32.970001,32.009998,32.080002,21470500
INTC,27-Apr-2015,32.080002,33.490002,32.080002,33.419998,25273100
INTC,04-May-2015,33.27,33.5,31.93,32.799999,26312700
INTC,11-May-2015,32.68,33.130001,32,32.990002,20321600
INTC,18-May-2015,32.98,33.560001,32.849998,33.450001,21806200
INTC,26-May-2015,33.27,34.75,32.84,34.459999,32344600
INTC,01-Jun-2015,34.369999,34.59,31.83,31.84,36552900
INTC,08-Jun-2015,31.809999,32.16,31.15,31.32,32281700
INTC,15-Jun-2015,31.120001,32.57,30.940001,32.07,27670900
INTC,22-Jun-2015,32.259998,32.389999,30.76,31.02,29963700
INTC,29-Jun-2015,30.700001,30.98,30.01,30.559999,30972700
INTC,06-Jul-2015,30.24,30.450001,28.82,29.17,40023400
INTC,13-Jul-2015,29.27,30.48,29.1,29.469999,47789500
INTC,20-Jul-2015,29.620001,29.620001,28.059999,28.059999,36157400
INTC,27-Jul-2015,28.07,29.450001,27.620001,28.950001,31110900
INTC,03-Aug-2015,29,29.389999,28.690001,28.879999,25828400
INTC,10-Aug-2015,29.07,29.68,28.66,29.02,22656000
INTC,17-Aug-2015,28.83,29.200001,26.559999,26.559999,29897200
INTC,24-Aug-2015,25.200001,28.610001,24.870001,28.42,54418900
INTC,31-Aug-2015,28.33,29.42,27.66,28.52,37789400
INTC,08-Sep-2015,28.98,30.120001,28.9,29.469999,26390400
INTC,14-Sep-2015,29.469999,30.200001,28.809999,29.02,34068100
INTC,21-Sep-2015,29.09,29.34,27.870001,28.809999,28184800
INTC,28-Sep-2015,28.68,30.530001,28.639999,30.51,35049300
INTC,05-Oct-2015,30.73,32.599998,30.559999,32.139999,31861400
INTC,12-Oct-2015,32.16,33.200001,30.85,33.040001,39326400
INTC,19-Oct-2015,32.880001,35.029999,32.869999,34.900002,35267600
INTC,26-Oct-2015,34.77,34.959999,33.77,33.860001,22640900
INTC,02-Nov-2015,33.73,34.41,33.41,33.84,20172000
INTC,09-Nov-2015,33.599998,33.830002,31.959999,32.110001,22684700
INTC,16-Nov-2015,32.09,35.290001,31.93,34.66,31535000
INTC,23-Nov-2015,34.66,34.849998,33.900002,34.459999,16531600
INTC,30-Nov-2015,34.549999,35.41,34,34.939999,23813200
INTC,07-Dec-2015,34.790001,35.220001,34.200001,34.27,18462500
INTC,14-Dec-2015,34.380001,35.470001,33.860001,33.869999,26593300
INTC,21-Dec-2015,34.110001,35.259998,33.82,34.98,13712200
INTC,28-Dec-2015,34.950001,35.59,34.439999,34.450001,12485300
ORCL,02-Jan-2015,45.02,45.189999,43.970001,44.330002,15070200
ORCL,05-Jan-2015,44.16,44.25,42.990002,43.389999,16913200
ORCL,12-Jan-2015,43.259998,43.950001,42.25,43.509998,14568900
ORCL,20-Jan-2015,43.560001,45.330002,43.18,44.189999,16076100
ORCL,26-Jan-2015,44.169998,44.209999,41.82,41.889999,15514200
ORCL,02-Feb-2015,42.209999,43.470001,41.560001,42.98,12298600
ORCL,09-Feb-2015,42.630001,44.23,42.630001,43.93,12186500
ORCL,17-Feb-2015,43.669998,44.369999,43.459999,43.77,10494100
ORCL,23-Feb-2015,43.459999,44.150002,43.299999,43.82,10274400
ORCL,02-Mar-2015,43.810001,44.040001,42.299999,42.380001,12383400
ORCL,09-Mar-2015,42.25,42.790001,41.259998,42.380001,13733100
ORCL,16-Mar-2015,42.82,44.939999,42.740002,44.41,22657300
